"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_1","CCL5","B2M","MALAT1","ACTB","FTH1","SH3BGRL3","CD52","CYBA","IL32","FTL","SRGN","HCST","ID2","ZFP36L2","CD7","S100A4","CD3D","RGS1","OAZ1","GZMA","CXCR4","TSC22D3","ARHGDIB","CD69","TRBC2","CORO1A","DDX5","IGKC","CLIC1","ALOX5AP","EVL","DUSP1","CD2","CD3E","VIM","CKLF","KLF6","CALM2","ZFP36","TXNIP","NEAT1","PTPRC","LSP1","TRAC","PNRC1","IFITM2","COX7A2","COTL1","COX6C","JUN"
"tnk_2","IL7R","FOS","JUNB","MALAT1","B2M","FTH1","TSC22D3","ACTB","FTL","JUN","CXCR4","SRGN","CD69","DUSP1","KLF6","ZFP36","DDX5","FXYD5","ZFP36L2","DNAJB1","ARHGDIB","CD3E","TXNIP","SH3BGRL3","PTPRC","TNFAIP3","ZFAS1","LDHB","OAZ1","VIM","FOSB","BTG2","CD3D","PPP1R15A","CD37","LEPROTL1","NFKBIA","IL32","LAPTM5","CD52","LTB","SRSF7","IER2","CYTIP","EIF4A2","EIF3F","SNHG8","PNRC1","SRSF5","SAT1"
"tnk_3","BATF","S100A4","TNFRSF4","TNFRSF18","SPOCK2","CTLA4","LTB","RGS1","CD2","IL32","SAT1","BIRC3","CD74","CD3D","CARD16","OAZ1","CORO1B","DUSP4","CLIC1","SH3BGRL3","SRGN","TRAC","ACTB","ICOS","FTH1","UCP2","ARID5B","B2M","MALAT1","CTSC","TIGIT","ARHGDIB","NEAT1","CREM","GMFG","FTL","TRBC2","RAC2","COX7A2","CORO1A","PTPRC","DDX5","CD7","CD3E","TNFRSF1B","PKM","PHLDA1","ARPC1B","S100A11","NDUFV2"
"tnk_4","ARPC4","ARPC1B","COTL1","PRELID1","NDUFA13","PSMA4","ARPC5","LDHB","HMGN1","PKM","BLOC1S1","RAN","PSMA1","ARF6","SEC61G","ABRACL","MZT2A","PSMB3","YWHAH","POMP","CKLF","CHCHD10","EIF3L","COX6C","DBI","IL2RG","ARL6IP4","SNRPB2","HNRNPF","VAMP8","PGK1","CAPZB","POLR2G","SNRPD1","LSM5","SRI","SPCS1","TIMM8B","PSMB8","POLR2J3","C11orf58","HNRNPK","CCT8","GNG5","ANAPC16","RBM3","NDUFA3","KRT10","NAA38","S100A11"
"tnk_5","PTPRCAP","PNRC1","IL2RG","CRIP1","HNRNPL","COTL1","CYBA","ARPC1B","IFITM1","ETS1","SMAP2","MCL1","PBX4","STK17A","LSP1","SMCHD1","DAZAP2","AKAP13","IFITM2","ZFP36L2","TAGLN2","LCP1","STK17B","MBNL1","HCLS1","EZR","ITGA4","PRRC2C","ARF6","ELF1","SLC2A3","CD3G","FYN","DDX24","HNRNPK","SF3A1","PGK1","CD74","WIPF1","NFATC2","GLUD1","RBM3","CAPZB","RAC2","LRRFIP1","KMT2E","IQGAP1","RBM39","EPC1","RAN"
"tnk_6","GZMK","CCL4","NKG7","CCL5","GZMA","CST7","CD8A","GZMH","HLA.DPB1","HLA.DPA1","HLA.DRB1","CD8B","CCL4L2","CD74","ITGB2","CMC1","APOBEC3G","HLA.DRA","CTSW","ITM2C","SH2D1A","PSMB9","PRF1","GZMM","SAMD3","GIMAP4","LITAF","ANXA1","IFNG","LYST","LCP1","CLEC2B","DNAJB1","CD27","HCST","HLA.DQA1","CD44","KLRG1","CLIC1","PTPRC","HLA.F","HLA.DRB5","TUBA4A","HLA.DQB1","LYAR","EMP3","CRTAM","DUSP4","IER2","CTSC"
"tnk_7","KLRD1","HOPX","CD160","CD8A","ITGA1","CD8B","TMIGD2","SCML4","XCL2","NKG7","PTPN22","KIR2DL4","GABARAPL1","KLRC2","CD96","CBLB","SYTL3","XCL1","ITGAE","CD55","PIK3R1","PARP8","AOAH","SLA2","ARHGAP9","CTSW","SPRY1","LDLRAD4","NR4A2","TSPYL2","CCL4","TIGIT","SYTL2","KLRC1","GPR65","KLRC3","FYN","CCL4L2","MATK","ABCB1","PDCD4","AREG","FAM3C","NR3C1","ZEB2","NR4A1","ZNF331","MAP3K8","FOSB","PTGER4"
"tnk_8","CAPG","LCP2","LGALS3","SLC9A3R1","CNN2","PSMB10","PPP1R18","SIT1","SASH3","OSTF1","CISH","LAT","CD6","WDR1","CXCR6","IFITM1","GYG1","TBC1D10C","CCDC107","PLEKHF1","FLT3LG","ABI3","OXNAD1","RGS19","ANXA6","DEF6","CD82","ARRB2","GRAP2","POLD4","UBE2L6","SELPLG","LPXN","HCLS1","FERMT3","THEMIS","ANXA5","WAS","CSK","ITGB7","TSEN54","HMOX2","TRAF3IP3","ANXA2","APBB1IP","PKM","SH3BP1","ITGAE","SYNGR2","ABRACL"
"tnk_9","TYMS","STMN1","PCNA","MCM7","TK1","TUBA1B","CLSPN","TMEM106C","ZWINT","CKS1B","RRM2","CENPM","CDT1","NUDT1","RPA3","NUSAP1","SIVA1","SMC2","CARHSP1","GINS2","SMC4","HELLS","NASP","CENPU","HIST1H4C","CCDC167","MKI67","DHFR","UBE2T","TOP2A","MCM5","DNMT1","FEN1","USP1","CENPK","ASF1B","ATAD2","TMPO","CENPH","EZH2","CDK1","RRM1","UBE2C","SLBP","MAD2L1","EBP","FABP5","TCF19","MCM4","SNRPD1"
"tnk_10","IFITM1","PARP8","ITK","TC2N","DAZAP2","AHNAK","PDE3B","CBLB","IL10RA","SYTL3","CAMK4","CD74","AC016831.7","CCNH","EML4","SYNE2","EVL","HCLS1","WIPF1","ARHGEF1","FCMR","AKNA","TAGAP","MBNL1","LCP2","PHF3","RAC2","SPOCK2","PRDM1","LCP1","FKBP5","GIMAP4","EMB","CD96","EPB41","PIK3R1","RSRP1","BRD2","CD5","RBL2","SP100","PRKCH","GCC2","LAPTM5","TBRG1","LSP1","SLC38A1","ATF7IP","CCND3","ST3GAL1"
"tnk_11","CREM","RGCC","REL","MYADM","ATP1B3","ZNF331","TUBB4B","CSRNP1","KDM6B","EZR","PDE4B","PPP1CB","ARL4A","FOSL2","GABARAPL1","ODC1","NR4A2","UBE2S","AMD1","CD55","SAMSN1","DUSP2","NR4A3","PLK3","PIM3","STAT4","CHD1","TIPARP","NFE2L2","ADGRE5","SKIL","PDCL3","SLC7A5","DDX21","RELB","RNF125","NASP","CHMP1B","JUND","TGFB1","ANXA1","GNG2","CDKN1A","IDI1","ARL4C","TNFRSF1B","ELL2","NAMPT","NFKB2","CNOT6L"
"tnk_12","IFITM3","PSMB10","CNN2","LCP2","SLC9A3R1","SASH3","PPP1R18","POLD4","LSP1","WDR1","TBC1D10C","ZAP70","PKM","ANXA6","SYNGR2","HCLS1","IL16","SELPLG","FLT3LG","SH2D2A","PSMB9","WAS","DENND2D","CD5","DEF6","TRAF3IP3","UBE2L6","SIT1","MAT2B","NDUFV1","SKAP1","POLR2E","DDOST","AUP1","LCK","LPXN","LAT","TNIP1","OSTF1","LCP1","RHOF","PTDSS1","MAP4K1","TAP1","NUCB1","ABHD14B","TBRG1","CAPZB","UCP2","ARHGAP4"
"tnk_13","CCR7","SELL","TCF7","LEF1","CD27","KLF2","PLAC8","TXK","MAL","LDLRAP1","GIMAP4","GIMAP1","ATM","C1orf162","TRAF3IP3","TSHZ2","SNHG7","TRABD2A","DENND2D","SERINC5","PASK","RASGRP2","NDFIP1","NUCB2","PRMT2","C1QBP","RIC3","GIMAP2","ITGB2","PSIP1","IL16","SH3YL1","LITAF","BIN1","ADD3","BEX2","AIF1","POLR2J3","TMEM243","FCMR","MZT2A","KRT10","NELL2","RSL1D1","SOCS3","APEX1","ARPC1B","ACTN1","RCAN3","FOXP1"
